election_id,election,candidate_id,選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
550866da-da04-4b8d-9a4a-28956ab936af,"2016-01 > 立法委員 > 彰化縣 > 第03選區[區域]",550c640c-4420-42ca-be67-025cacb5b862,105年立法委員,鄭汝芬,5805600,3524000,7000000,300000,0,1239,16630839,792940,316400,0,1879575,212000,137000,1659309,0,0
55086674-8224-431b-be41-35296ab936af,"2016-01 > 立法委員 > 桃園市 > 第01選區[區域]",55b5f297-faf8-48f4-abd3-30506ab936af,105年立法委員,鄭運鵬,330000,17000,567,8581912,251793,322848,14278367,2052728,767943,800000,0,0,46055,18135165,0,0
5508673b-c30c-4046-b480-23d86ab936af,"2016-01 > 立法委員 > 屏東縣 > 第02選區[區域]",550ce7a5-3ac4-4035-a46b-084b6ab936af,105年立法委員,鍾佳濱,15165253,5430350,0,342000,101221,2340,2257933,13934092,421300,21041164,1157795,502000,280339,1988894,0,125050
550865bd-8c00-42f3-9191-2f916ab936af,"2016-01 > 立法委員 > 臺中市 > 第02選區[區域]",55c19cee-bddc-48a0-844f-44f16ab936af,105年立法委員,鍾文龍,5000,0,0,0,0,0,0,0,0,0,0,0,200000,0,5000,0
5508662d-7c8c-4b0c-a7f8-2f916ab936af,"2016-01 > 立法委員 > 高雄市 > 第01選區[區域]",55a6998a-1ba0-4268-8aca-0e3c6ab936af,105年立法委員,鍾易仲,2035000,2490000,11800000,30000,11000,1803,2659204,9900156,16367803,87300,678805,170000,633383,2388564,0,0
550865bd-8c00-42f3-9191-2f916ab936af,"2016-01 > 立法委員 > 臺中市 > 第02選區[區域]",550ce447-6be4-45d8-9380-126d6ab936af,105年立法委員,陳世凱,11525800,7530000,0,100000,28583,225,3055240,10787580,198891,19184608,2226971,425000,425892,2120194,0,161072
550865fa-5380-4c6f-948e-2f916ab936af,"2016-01 > 立法委員 > 臺南市 > 第03選區[區域]",550c640c-b798-485e-91dc-025cacb5b862,105年立法委員,陳亭妃,16730101,11275990,0,10000,70700,1069,4322750,10851552,157870,650400,764775,1030000,481303,1713122,0,1597170
55086679-5f0c-4c5b-acf0-2f916ab936af,"2016-01 > 立法委員 > 桃園市 > 第02選區[區域]",55b5f435-1874-4aaa-bdbc-7c046ab936af,105年立法委員,陳佩俞,28000,0,0,0,300,4,0,28304,0,0,0,0,0,200000,0,0
5508667d-d5c4-456b-bc38-2f916ab936af,"2016-01 > 立法委員 > 桃園市 > 第03選區[區域]",56136477-e7bc-451f-8396-64046ab936af,105年立法委員,陳宏瑞,61000,150000,0,48000,41,1717041,652500,1874094,0,342459,6758,0,178044,0,0,3111855
55086531-af74-431e-b54e-35296ab936af,"2016-01 > 立法委員 > 臺北市 > 第06選區[區域]",558cc8e3-d550-4a26-967e-42556ab936af,105年立法委員,陳家宏,142100,0,0,0,1220,42,143362,0,0,0,0,0,200000,0,1610,0
