何敏誠,第16屆臺中市議員擬參選人何敏誠政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/512/09418048211.doc
劉士州,第16屆臺中市議員擬參選人劉士州政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/514/09418049021.doc
魯明哲,第16屆桃園縣議員擬參選人魯明哲政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/516/09418049031.doc
張廖萬堅,第16屆臺中市議員擬參選人張廖萬堅政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/522/09418049731.doc
許福森,第16屆高雄縣議員擬參選人許福森政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/534/09418049741.doc
賴清美,第16屆彰化縣議員擬參選人賴清美政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/517/09418050271.doc
黃國書,第16屆臺中市議員擬參選人黃國書政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/515/09418050281.doc
王秋冬,第16屆臺中市議員擬參選人王秋冬政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/523/09418050291.doc
何文海,第16屆臺中市議員擬參選人何文海政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/524/09418050301.doc
陳明文,第15屆嘉義縣長擬參選人陳明文政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/3352/09418051211.doc
曾文宏,第16屆臺南市議員擬參選人曾文宏政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/526/09418051221.doc
陳宗彥,第16屆臺南市議員擬參選人陳宗彥政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/527/09418051231.doc
吳清林,第16屆彰化縣議員擬參選人吳清林政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/530/09418051241.doc
黃秋榮,第16屆臺南市議員擬參選人黃秋榮政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/545/09418051761.doc
周賜海,第16屆臺南縣議員擬參選人周賜海政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/528/09418051771.doc
劉春財,第16屆臺中市議員擬參選人劉春財政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/544/09418051781.doc
邱宇健,第16屆桃園縣議員擬參選人邱宇健政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/538/09418051791.doc
游明瑚,第16屆彰化縣議員擬參選人游明瑚政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/531/09418051801.doc
卓伯源,第15屆彰化縣長擬參選人卓伯源政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/532/09418051821.doc
王金山,第16屆嘉義縣議員擬參選人王金山政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/533/09418052251.doc
陳昌輝,第16屆臺南市議員擬參選人陳昌輝政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/546/09418052261.doc
唐儀靜,第16屆臺南市議員擬參選人唐儀靜政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/540/09418052271.doc
何明杰,第16屆臺中縣議員擬參選人何明杰政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/542/09418052281.doc
翁啟文,第16屆臺南市議員擬參選人翁啟文政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/535/09418052661.doc
紀麗玉,第16屆臺中市議員擬參選人紀麗玉政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/543/09418052671.doc
邱名璋,第16屆屏東縣議員擬參選人邱名璋政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/555/09418053111.doc
范淞育,第16屆臺中市議員擬參選人范淞育政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/536/09418053571.doc
楊典忠,第16屆臺中縣議員擬參選人楊典忠政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/565/09418053581.doc
張郁文,第16屆臺南縣議員擬參選人張郁文政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/547/09418054301.doc
林川,第16屆臺中市議員擬參選人林川政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/539/09418054311.doc
林政則,第7屆新竹市長擬參選人林政則政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/559/09418054331.doc
李俊諭,第16屆彰化縣議員擬參選人李俊諭政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/551/09418054341.doc
李旭寧,第16屆花蓮縣議員擬參選人李旭寧政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/541/09418054771.doc
蔡蘇秋金,第16屆臺南縣議員擬參選人蔡蘇秋金政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/548/09418055431.doc
陳定南,第15屆宜蘭縣長擬參選人陳定南政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/549/09418055441.doc
張博威,第16屆臺中市議員擬參選人張博威政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/550/09418055451.doc
周勝考,第16屆臺北縣議員擬參選人周勝考政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/561/09418056191.doc
楊福建,第16屆彰化縣議員擬參選人楊福建政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/552/09418056201.doc
張榮法,第16屆臺北縣議員擬參選人張榮法政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/562/09418056791.doc
邱建富,第16屆彰化縣議員擬參選人邱建富政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/553/09418057051.doc
陳雪生,第4屆連江縣長擬參選人陳雪生政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/575/09418057421.doc
張瑞山,第16屆臺北縣議員擬參選人張瑞山政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/563/09418057491.doc
林士堅,第16屆臺中市議員擬參選人林士堅政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/554/09418057501.doc
